tweet_id,jpg_url,p1,p2,retweet_count,favorite_count,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls,name,dog_stage,extractedrating_numerator,extractedrating_denominator
666020888022790149,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,Welsh_springer_spaniel,collie,532,2535,nan,nan,2015-11-15 22:32:08+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet https://t.co/BLDqew2Ijj,666020888022790149,nan,,https://twitter.com/dog_rates/status/666020888022790149/photo/1,None,,8,10
666029285002620928,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,redbone,miniature_pinscher,48,132,nan,nan,2015-11-15 23:05:30+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI,666029285002620928,nan,,https://twitter.com/dog_rates/status/666029285002620928/photo/1,a,,7,10
666033412701032449,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,German_shepherd,malinois,47,128,nan,nan,2015-11-15 23:21:54+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af https://t.co/y671yMhoiR,666033412701032449,nan,,https://twitter.com/dog_rates/status/666033412701032449/photo/1,a,,9,10
666044226329800704,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,Rhodesian_ridgeback,redbone,147,311,nan,nan,2015-11-16 00:04:52+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx,666044226329800704,nan,,https://twitter.com/dog_rates/status/666044226329800704/photo/1,a,,6,10
666049248165822465,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,miniature_pinscher,Rottweiler,41,111,nan,nan,2015-11-16 00:24:50+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10 https://t.co/4B7cOc1EDq,666049248165822465,nan,,https://twitter.com/dog_rates/status/666049248165822465/photo/1,None,,5,10
666050758794694657,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,Bernese_mountain_dog,English_springer,60,136,nan,nan,2015-11-16 00:30:50+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with https://t.co/fvIbQfHjIe,666050758794694657,nan,,https://twitter.com/dog_rates/status/666050758794694657/photo/1,a,,10,10
666051853826850816,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,box_turtle,mud_turtle,879,1253,nan,nan,2015-11-16 00:35:11+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 https://t.co/v5A4vzSDdc,666051853826850816,nan,,https://twitter.com/dog_rates/status/666051853826850816/photo/1,an,,2,10
666055525042405380,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,chow,Tibetan_mastiff,261,448,nan,nan,2015-11-16 00:49:46+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog https://t.co/rdivxLiqEt,666055525042405380,nan,,https://twitter.com/dog_rates/status/666055525042405380/photo/1,a,,10,10
666057090499244032,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,shopping_cart,shopping_basket,146,304,nan,nan,2015-11-16 00:55:59+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare https://t.co/yWBqbrzy8O,666057090499244032,nan,,https://twitter.com/dog_rates/status/666057090499244032/photo/1,a,,9,10
666058600524156928,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,miniature_poodle,komondor,61,115,nan,nan,2015-11-16 01:01:59+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog https://t.co/pYAJkAe76p,666058600524156928,nan,,https://twitter.com/dog_rates/status/666058600524156928/photo/1,the,,8,10
666063827256086533,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,golden_retriever,Tibetan_mastiff,232,496,nan,nan,2015-11-16 01:22:45+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is the happiest dog you will ever see. Very committed owner. Nice couch. 10/10 https://t.co/RhUEAloehK,666063827256086533,nan,,https://twitter.com/dog_rates/status/666063827256086533/photo/1,the,,10,10
666071193221509120,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,Gordon_setter,Yorkshire_terrier,67,154,nan,nan,2015-11-16 01:52:02+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a northern speckled Rhododendron. Much sass. Gives 0 fucks. Good tongue. 9/10 would caress sensually https://t.co/ZoL8kq2XFx,666071193221509120,nan,,https://twitter.com/dog_rates/status/666071193221509120/photo/1,None,,9,10
666073100786774016,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,Walker_hound,English_foxhound,174,335,nan,nan,2015-11-16 01:59:36+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Let's hope this flight isn't Malaysian (lol). What a dog! Almost completely camouflaged. 10/10 I trust this pilot https://t.co/Yk6GHE9tOY,666073100786774016,nan,,https://twitter.com/dog_rates/status/666073100786774016/photo/1,None,,10,10
666082916733198337,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,pug,bull_mastiff,47,121,nan,nan,2015-11-16 02:38:37+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a well-established sunblockerspaniel. Lost his other flip-flop. 6/10 not very waterproof https://t.co/3RU6x0vHB7,666082916733198337,nan,,https://twitter.com/dog_rates/status/666082916733198337/photo/1,None,,6,10
666094000022159362,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg,bloodhound,German_shepherd,79,169,nan,nan,2015-11-16 03:22:39+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This appears to be a Mongolian Presbyterian mix. Very tired. Tongue slip confirmed. 9/10 would lie down with https://t.co/mnioXo3IfP,666094000022159362,nan,,https://twitter.com/dog_rates/status/666094000022159362/photo/1,None,,9,10
666099513787052032,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,Lhasa,Shih-Tzu,73,164,nan,nan,2015-11-16 03:44:34+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Can stand on stump for what seems like a while. Built that birdhouse? Impressive. Made friends with a squirrel. 8/10 https://t.co/Ri4nMTLq5C,666099513787052032,nan,,https://twitter.com/dog_rates/status/666099513787052032/photo/1,None,,8,10
666102155909144576,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg,English_setter,Newfoundland,16,81,nan,nan,2015-11-16 03:55:04+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Oh my. Here you are seeing an Adobe Setter giving birth to twins!!! The world is an amazing place. 11/10 https://t.co/11LvqN4WLq,666102155909144576,nan,,https://twitter.com/dog_rates/status/666102155909144576/photo/1,None,,11,10
666104133288665088,https://pbs.twimg.com/media/CT56LSZWoAAlJj2.jpg,hen,cock,6871,14765,nan,nan,2015-11-16 04:02:55+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Not familiar with this breed. No tail (weird). Only 2 legs. Doesn't bark. Surprisingly quick. Shits eggs. 1/10 https://t.co/Asgdc6kuLX,666104133288665088,nan,,https://twitter.com/dog_rates/status/666104133288665088/photo/1,None,,1,10
